recoTheta,trueTheta
26.847521,23.773354
20.711017,19.491485
23.242607,24.003622
14.586307,14.056636
16.682912,16.470524
11.976844,11.666990
26.237340,24.712378
27.561245,30.535096
4.464448,4.539586
47.790827,47.422258
8.215110,7.916040
14.690536,11.574506
48.438955,11.537871
4.399127,3.082356
8.078904,7.994656
16.654802,16.668821
14.779141,14.018678
8.608021,7.674858
18.297959,17.878197
18.926071,17.859053
26.151780,24.318961
6.009097,9.808948
13.662624,12.615854
1.940881,0.941700
3.464019,3.728461
11.595882,10.601349
12.383159,12.297734
23.175299,22.507651
49.620489,47.349871
18.268817,17.685059
25.312010,24.139055
23.279031,22.850473
9.073916,8.198913
9.289925,9.432089
25.725297,28.133254
35.935405,36.287347
29.884616,28.815878
8.812381,8.647314
36.274073,36.559767
34.840345,35.699507
31.062094,25.446333
6.911059,6.229227
28.051194,28.238072
15.403701,14.951448
5.946365,6.243846
31.837247,28.353618
31.687876,33.592529
12.613086,12.224113
7.619193,11.295484
17.127978,16.860108
41.360021,33.093770
20.621334,21.372012
31.329538,30.828459
4.181138,4.138295
18.435139,17.881400
16.900413,19.469693
21.739016,20.798983
9.832254,11.069981
12.327857,10.554785
7.112982,6.930247
14.128783,14.626014
19.623568,18.067773
32.967074,33.907968
4.866833,5.035011
18.733561,19.206150
18.625010,17.307591
3.315584,3.989143
28.579126,26.414741
26.750703,24.500130
21.295599,20.611130
31.549092,31.184814
15.872486,17.156273
3.197574,2.692754
9.195285,10.856360
23.140451,25.242941
19.882515,24.298570
35.415414,34.503907
25.529171,23.456385
5.273512,5.204884
14.157868,14.652769
18.405688,17.721256
4.075926,8.726409
23.958913,21.945097
24.326490,28.550592
19.168077,19.711816
14.697806,14.403171
23.567841,23.597291
31.594497,28.815531
30.627977,30.166778
31.319376,29.241066
32.692370,32.587491
12.586581,14.407042
5.436677,5.121740
16.225375,15.292546
18.491084,18.627234
29.632702,30.098647
22.338123,22.208077
14.671739,12.295200
10.257815,10.638799
25.755949,26.777125
26.032326,26.427427
37.451124,30.052123
25.466331,25.601921
14.131805,13.852668
45.037424,12.973209
12.255847,7.225450
13.977593,13.030935
27.573945,32.897534
8.161110,7.984263
1.968216,2.745236
27.924088,29.761849
17.241163,20.179024
13.088893,13.662986
32.902331,29.310365
9.744834,9.042006
14.235930,15.469931
32.798313,31.240599
24.792344,24.099106
32.753776,40.469634
12.906532,4.953177
37.502229,33.934135
5.662128,4.568318
32.448705,32.752065
33.478019,32.376321
21.823174,21.263765
13.447751,11.975840
30.150226,28.132921
6.176126,6.160680
37.330796,14.111621
63.831244,59.559897
16.014367,15.971418
16.734619,18.397801
31.675579,33.447981
18.777809,10.117249
41.510909,38.429556
18.426606,18.209852
9.902204,9.428671
