recoP,trueP,recoTheta,trueTheta
3.409724,3.098223,15.007641,13.307645
1.484113,1.524072,17.051174,15.247018
0.662547,0.789835,40.542087,37.572232
3.073675,3.183459,19.583189,19.118986
27.604471,10.873008,1.644967,1.256788
0.421282,0.269750,32.016469,28.810465
1.341555,1.370280,48.280939,50.466239
2.828091,2.901096,17.793927,17.004268
1.251305,1.296281,26.251364,25.321873
3.174265,2.753698,17.169906,16.758430
0.443647,0.689314,46.938255,45.588537
2.132756,2.331433,9.492312,9.974369
0.854051,0.834270,31.647082,28.085553
0.704137,0.693740,26.697125,25.325322
1.345647,1.294903,26.786591,21.525559
2.386492,2.237192,17.541986,17.402365
3.762132,3.345542,7.861349,7.256933
3.081755,3.128824,18.287579,17.191376
1.081701,0.989446,49.728396,49.454854
1.301848,1.256599,29.167862,29.138895
4.671562,3.433504,16.677975,15.475115
2.975740,3.667902,22.568932,17.741888
2.026391,2.149005,25.961659,26.568779
1.667053,1.596074,15.362994,16.329247
1.723912,2.665298,15.684689,13.884341
1.450663,1.522978,19.164218,18.369149
1.358159,1.443174,35.751613,26.328293
1.634462,1.761044,31.917809,30.242297
3.656396,3.234975,18.914696,19.229463
7.344101,6.848193,11.685670,11.715292
2.956139,2.417986,30.179450,23.570634
1.511957,1.355020,34.324830,32.723939
0.449297,0.431405,21.300141,20.673372
0.989734,0.946123,34.208089,32.487142
2.647686,3.090902,2.736952,2.878004
2.868493,2.393384,10.789869,10.007616
1.426261,1.196596,13.426706,11.763163
1.782542,2.007997,14.803420,14.570378
1.238873,1.238591,8.620197,8.652491
4.250377,3.858783,6.615832,5.413342
1.400763,1.300370,20.412678,19.361184
4.697338,3.108057,15.974223,14.394711
0.833155,0.564512,22.808108,27.318618
5.663481,4.993737,10.470180,10.052871
0.492349,0.558097,39.346613,40.950464
3.922795,4.574376,10.590912,10.425660
10.596929,7.232499,5.865514,4.744210
0.640702,0.745402,50.830005,48.965402
1.205349,1.343787,14.430330,14.070704
4.858008,5.515948,13.021359,12.478902
1.002425,0.970019,11.861808,13.018661
0.609548,0.625948,36.346820,37.674919
3.225008,3.803254,6.084086,6.582073
3.637694,4.528417,9.995897,9.844905
4.305762,4.093999,10.892980,9.505432
5.856162,5.583128,13.439730,6.112728
4.031073,3.853618,15.152505,14.911686
9.787384,9.616525,1.919691,2.142288
7.997646,4.672983,7.460693,5.560386
0.639223,1.033096,34.029263,29.731282
6.924947,7.255769,19.077935,18.801368
0.393040,0.359385,58.933756,53.612116
3.076515,2.783510,10.598936,10.390215
7.238079,6.246459,2.876099,2.462992
1.416509,1.602572,26.749944,23.326607
1.538493,1.779927,43.508084,44.365341
8.106240,4.468591,12.420893,11.592789
1.054517,0.827884,50.805870,55.345649
9.389534,6.943464,11.123178,4.687510
6.526772,7.182918,9.923073,10.539019
38.831875,12.257864,7.966738,6.665651
1.344728,1.464284,43.949921,41.320241
