recoP,trueP
0.525325,0.538121
1.745308,1.978392
3.156912,2.789461
0.521762,0.559061
4.854192,2.874153
1.215628,1.277191
6.794585,9.451671
1.993309,1.806448
0.675833,0.647723
1.264502,1.258672
0.363162,0.415796
0.343303,0.324193
0.695576,0.561033
0.344366,0.339633
0.791610,0.806995
4.315524,3.793089
0.430946,0.446392
1.664127,1.790436
0.460925,0.449057
1.945765,1.940160
2.128908,1.667929
0.759505,0.820496
0.656656,0.638697
0.496409,0.499403
0.687943,0.706168
0.510368,0.524181
0.835749,0.869773
0.892889,0.878912
0.649310,0.727988
0.628912,0.648221
0.842627,0.918343
0.557715,0.510865
1.230118,1.188965
0.574711,0.585107
0.826663,0.837651
1.427350,1.424089
1.094419,1.042774
6.934253,5.769380
2.145223,2.656503
0.298228,0.300518
0.708450,0.682502
5.278202,4.667745
0.612872,0.626686
0.542158,0.600802
0.851344,0.491137
3.709035,3.838134
0.944464,0.926705
3.387635,3.164539
0.482045,0.512774
0.684835,0.662019
0.524990,0.523653
3.074020,3.189768
1.815163,1.825386
1.544276,1.515376
1.274002,1.317507
1.439964,1.701463
1.579115,1.603230
1.435792,1.334820
3.483473,3.133050
0.656459,0.677028
1.969776,1.247326
0.318186,0.321131
0.467694,0.475605
1.869672,1.814347
0.881911,0.838319
0.415419,0.422811
1.001085,1.101059
0.651108,0.649100
0.587178,0.573303
0.795218,0.866017
0.400022,0.421847
0.639254,0.636591
4.105369,3.693683
2.926475,2.443543
1.716228,1.825290
0.615089,0.508075
0.792526,0.771242
1.134132,1.091163
11.148757,9.944583
0.908479,0.832928
0.878731,0.915227
0.864490,0.857611
9.482302,7.170882
6.741829,5.095107
2.663791,3.293503
1.088422,0.997833
0.766920,0.750553
0.632383,0.652038
4.004365,3.705267
2.449622,2.385414
1.746287,1.706927
2.582048,2.553655
0.689042,0.706240
0.930991,0.981378
0.417698,0.417639
0.621435,0.601095
1.847535,1.929406
4.381813,3.286768
0.994205,0.989580
1.085131,1.092596
5.423309,2.682522
23.237041,8.661519
0.432608,0.443679
0.452363,0.431542
0.453514,0.452798
0.735729,0.737834
0.700991,0.690405
0.670244,0.617042
3.360795,3.380985
0.876899,0.915106
4.703479,4.537203
0.685452,0.564579
0.597174,0.587806
0.575159,0.569709
0.480014,0.499346
0.471495,0.362730
2.644900,2.575457
0.649154,0.715715
0.740387,0.746076
1.001480,0.900093
0.929900,0.518329
0.375556,0.366977
0.583610,0.513825
