recoP,trueP,recoTheta,trueTheta
1.320204,1.328897,14.244648,13.661757
2.635798,2.768640,16.244480,16.131095
9.671494,9.541806,7.373604,7.780689
1.432708,1.491925,10.977933,11.114749
7.170904,5.370189,8.446339,8.607336
2.294976,2.143386,19.166236,16.605209
1.464232,1.506990,20.109757,19.723012
10.215872,6.683860,9.158218,9.092541
3.747539,2.957218,9.656019,8.158295
1.098341,0.976527,45.929179,34.534847
1.569830,1.516541,13.427162,12.774685
0.582070,0.574437,18.909533,19.899057
5.072643,4.999404,13.445518,13.556472
1.371847,2.939013,15.088536,15.453560
3.087501,3.096746,5.887995,6.641393
0.914661,0.488727,35.466335,38.461665
1.668533,2.148910,23.790469,21.262532
0.651393,0.648463,10.202705,11.606886
0.577767,0.577073,25.090791,23.146837
4.537233,5.128490,4.371928,4.201464
1.023834,0.999248,31.087249,28.574799
3.146508,3.661249,9.920180,9.184423
2.241541,2.354242,6.394637,4.004724
2.333862,1.442095,25.784981,20.010971
0.498196,0.505041,38.280427,37.040393
2.151044,1.591936,30.302089,30.384381
2.437075,2.264856,10.153656,11.424616
0.826075,0.797729,24.829683,22.967550
0.763839,0.518141,14.992929,26.960134
3.774115,3.700920,14.792790,14.217795
9.515930,9.232173,2.090502,1.959147
1.316229,1.223396,30.460442,30.995915
6.811632,5.093716,4.521774,4.372869
2.935808,3.150156,7.503390,5.113317
3.419350,3.139679,12.995552,13.076416
3.144227,2.550453,19.233683,18.953943
0.463499,0.323159,46.017272,36.678429
1.646884,1.647321,6.288900,7.331521
4.175583,4.312173,6.855808,6.915741
4.055286,3.728054,2.872626,3.430567
2.204760,2.194511,33.673370,31.229917
2.312795,1.992334,17.529859,17.581962
3.884600,3.588644,13.535637,13.363066
6.090909,3.583565,13.325912,12.619325
2.126262,2.061633,6.940627,6.569398
0.950422,1.011789,25.157552,23.679236
4.660151,4.199298,5.343755,4.655389
1.604772,1.552537,23.184695,22.566805
2.630873,2.808213,5.494654,5.685203
0.525413,0.551828,15.075372,18.323362
2.123868,2.197052,14.424148,12.530967
1.337412,1.225462,10.935097,10.720106
0.881485,0.855079,30.092565,32.290868
0.651314,0.636043,25.972914,21.682997
2.959800,2.700817,10.674460,10.350869
1.617831,3.130654,8.206573,8.806985
0.716686,0.708271,11.759930,10.445438
0.922842,0.934137,11.131548,11.626661
1.341521,1.151023,12.920667,12.746840
3.749907,2.965809,10.072182,10.290595
1.008743,0.952066,17.077138,16.956359
5.686884,4.609720,9.315995,9.101527
3.655877,3.991920,9.585849,7.573622
1.744038,1.658013,11.332318,11.554404
0.443499,0.779538,17.535867,20.271338
0.211296,0.403052,27.746529,23.460632
0.466941,0.511157,35.541645,35.161896
0.524984,0.430363,25.327102,25.564727
0.565874,0.624830,9.807364,9.329571
0.561430,0.569353,39.641167,40.514885
3.760674,4.443603,6.426570,6.119075
1.045375,1.117499,25.788922,25.054075
1.014782,0.917898,12.377488,19.368641
6.789745,6.535980,5.928471,6.178792
7.077739,7.325105,2.541604,2.949354
1.644019,1.566966,23.058112,23.037377
1.033911,1.013060,16.949929,17.868026
3.092731,1.938829,15.162366,14.422640
0.468744,0.407750,42.652768,40.118482
7.216402,3.885040,17.013305,14.744601
2.023695,1.749802,13.761414,18.246449
0.580591,0.607603,40.378427,40.809943
3.149762,3.233309,5.117913,5.057297
3.162184,3.152330,12.086757,12.036502
1.333702,1.194755,21.046564,21.222227
2.596823,2.753427,9.276503,8.701749
0.566158,0.583504,20.064236,19.413755
6.490421,3.756692,7.769304,3.899279
0.803529,0.782832,14.401921,12.221516
1.127262,1.171367,34.266403,22.886626
0.344050,0.277650,9.692133,38.937946
4.540112,4.469554,3.705810,2.844825
2.409183,3.087680,15.773904,10.961871
2.417287,2.619414,19.166798,20.499363
1.902196,1.774446,8.721320,9.739849
2.831232,2.735217,17.405939,16.218456
0.656924,0.758349,18.503388,14.168099
3.126570,2.957809,18.225190,15.398468
2.507631,1.698840,17.423352,15.757200
0.411413,0.435628,24.011085,23.835020
0.586692,0.453847,26.678640,29.025347
1.049075,0.919942,15.101414,13.633953
1.208854,0.909337,32.945409,34.857623
2.443195,2.328974,20.784495,22.067080
0.806344,0.814706,17.209126,17.136604
1.257098,1.444302,24.216767,24.389321
0.495440,0.487281,30.295361,29.380385
2.226255,2.484447,11.789752,10.052813
3.206324,3.341601,16.229995,16.691059
2.790627,2.676137,20.605328,16.949074
4.175170,3.960669,11.145797,10.927875
0.373634,0.370621,33.913183,32.633990
0.612893,0.615116,30.777154,30.477482
2.508704,2.417902,20.844101,21.489613
3.239782,3.198321,11.341787,10.958907
1.179711,1.150093,27.316646,22.620743
1.377847,1.414078,10.005002,10.607584
0.599737,0.601437,23.644109,23.275790
1.440109,1.387747,23.262140,23.643181
2.083291,2.110881,11.143482,10.419619
1.704230,1.960022,4.945498,5.490943
2.338431,2.153735,12.567714,12.172215
0.526011,0.534251,19.859456,18.871359
2.454217,2.794245,17.100939,17.341813
0.791181,0.848994,17.351274,18.108778
0.598750,0.625344,10.620748,11.526374
1.504936,1.488338,8.816771,15.304001
2.306702,2.493909,21.257455,20.427409
1.099640,1.035556,3.767748,5.693540
1.001865,1.007750,22.930317,21.154158
1.171147,1.192194,19.823124,12.809574
1.829551,1.695981,4.021267,4.351407
0.772791,0.961574,21.357153,18.724297
2.056064,1.869058,16.108709,15.243992
1.685612,2.445489,18.541326,20.755690
1.106678,1.279507,19.875876,18.789592
0.689294,0.740360,17.326579,16.662808
3.912167,4.264340,16.046472,15.322182
2.126859,2.089282,11.864682,11.588166
0.896931,1.083404,25.659120,27.520734
0.424500,0.460312,35.538020,28.741849
4.507474,4.429557,13.330297,12.847903
5.399871,5.207780,10.062336,10.845839
1.664962,1.611809,8.558343,7.938030
8.599457,8.114951,6.274418,3.901538
0.941379,0.890375,23.740437,27.797731
2.702109,2.464537,4.638316,5.060860
7.131529,5.008620,19.241560,19.359958
0.472780,0.642519,29.200758,20.702025
2.083318,1.776894,15.211265,15.664085
6.833475,4.728714,8.270207,8.608683
0.908327,0.849079,5.378041,9.741968
5.771258,5.740879,4.302613,4.096438
5.002854,4.629480,8.373345,7.770643
2.198033,2.086186,10.514981,10.873373
2.948445,2.799396,20.220415,18.166811
3.270757,3.854469,16.499300,16.047238
0.921717,0.902906,20.197756,12.681638
1.248740,1.089523,11.509031,8.426670
2.358056,2.274068,16.361053,12.532745
92.788352,3.035166,16.751357,15.463208
1.269134,1.270576,14.212845,14.318187
3.463358,4.299629,8.855411,7.293878
0.744664,0.568378,32.698566,27.490053
5.650482,5.215813,10.315093,9.813056
0.781176,1.086923,14.908023,22.967331
0.849769,0.849948,30.220918,26.418141
1.794810,1.999847,16.976722,13.235495
1.199294,1.168417,20.113472,21.222152
3.707605,3.195491,9.594807,9.129034
1.412562,1.295705,2.420831,1.030786
1.537568,1.494905,30.218747,28.786177
0.498865,0.513650,6.912847,6.304002
1.442652,1.363873,17.920543,12.673172
1.973706,2.668745,5.717792,5.354598
2.686449,2.719338,6.875862,5.287835
3.399791,4.157286,10.025307,6.374829
2.712398,3.055736,12.622841,12.775334
0.709081,0.716682,36.202009,26.225812
1.771221,1.658353,14.012685,14.485741
3.167513,3.400365,16.992388,16.318202
4.132865,2.269993,26.087015,25.778975
6.638339,3.676665,2.797854,2.703854
2.277808,1.971608,13.314098,12.122748
1.309064,1.303940,26.394882,24.398566
2.798376,2.326720,13.226423,13.444255
3.863183,3.637265,10.798111,11.032889
1.142324,1.132029,27.935536,28.148178
7.359128,5.305132,11.201134,11.712146
2.830678,2.938347,6.400798,6.062912
2.139505,1.200754,13.832113,14.163340
2.311269,2.232721,16.763167,15.401323
1.955632,1.944936,11.244756,6.416493
1.291563,1.258396,41.384637,41.083284
0.483768,0.456721,29.736274,25.789982
1.798147,1.643714,20.620005,19.468556
2.083663,1.907830,8.856587,9.750199
1.072962,1.153444,18.338076,17.779818
0.686772,0.741659,39.248956,40.074186
2.717182,2.630239,12.801146,12.550344
0.621980,0.673439,16.387365,15.548911
3.452905,5.138177,18.465375,16.180729
5.610505,4.464836,8.808479,8.120667
1.495109,1.539962,32.816636,31.541252
1.093707,1.046028,16.353643,13.959442
0.346768,0.349212,1.584985,2.970979
5.257750,5.427630,2.582705,2.568188
2.970282,3.106771,4.313115,3.825308
2.390913,1.701463,26.000607,26.462166
6.321378,1.697754,13.594533,14.774669
1.940990,1.667076,14.798888,19.322414
1.396303,1.368729,19.160691,17.814712
0.797984,0.830104,17.056344,16.761118
5.309227,4.615138,7.220262,6.164211
0.455484,0.438465,41.744372,39.348681
4.357944,5.484260,10.911199,6.034327
2.941561,3.301936,2.100030,2.389664
5.696451,1.928923,33.815485,28.515130
1.870063,2.027973,3.021872,3.829094
0.413000,0.370722,25.848924,33.723647
1.658515,1.574134,12.587506,12.702916
4.657948,4.402367,4.048737,2.399472
1.824364,1.809097,19.286185,18.987706
1.851410,1.663537,25.917212,24.675396
0.696911,0.826610,24.057337,25.156146
0.404102,0.399193,13.421204,19.497022
1.898113,2.153061,17.948779,17.165949
3.791180,5.026875,10.727374,9.907643
2.925169,2.775700,25.829444,22.547326
0.747619,0.780246,18.710909,16.905417
0.856830,0.847393,13.803100,14.297252
0.683370,0.699549,23.580547,18.656315
7.767907,5.665655,2.880316,2.820014
1.707873,1.563004,30.959050,30.912010
4.459917,3.348788,17.167176,17.799760
3.539219,3.624319,9.946055,1.599366
2.673313,2.675188,17.592654,12.569142
2.585773,2.567159,15.544464,15.455367
1.705345,1.728596,10.767408,5.607556
1.322541,1.012239,36.651246,35.822365
0.341734,0.317966,2.915644,11.384790
0.825397,0.841076,36.464114,35.618060
1.694098,1.282374,28.284853,27.832853
2.136739,2.352917,15.153615,13.472106
2.656902,2.178168,14.130602,12.640270
3.269554,3.283297,4.330879,4.345281
2.118936,2.265059,11.463052,10.898039
6.403932,4.178189,11.684574,11.023463
7.138125,5.722082,11.101348,11.007824
0.331212,0.324559,22.773990,22.264976
2.172613,2.006648,33.531503,32.241035
2.000112,1.617362,17.290916,18.284629
3.003872,3.491234,13.969716,10.066342
5.198977,3.195878,12.820044,12.278831
2.542412,3.079913,9.540049,9.488998
1.224611,1.216208,35.902385,27.126717
3.483468,4.122981,15.311594,15.069042
2.659641,2.784011,20.402130,18.870842
3.349463,3.348375,25.117644,22.734398
3.394039,1.803595,32.498166,31.077400
0.807572,0.938876,7.137321,10.564792
0.327870,0.552405,55.239583,32.929035
2.571437,2.847244,5.718511,5.175891
0.437621,0.484572,22.247519,21.134655
2.520301,2.649004,21.503378,21.538558
0.893503,0.760909,14.402772,15.160760
1.021470,0.974125,26.976196,26.625736
1.524497,1.548649,19.486582,19.096744
5.507820,6.689574,7.682066,7.639977
1.520857,1.546932,4.463219,7.390881
0.471741,0.460875,32.132083,33.693845
4.633792,3.950981,10.462133,11.364079
2.657597,2.511850,19.780421,19.563035
1.110230,1.068356,12.655539,14.403569
42.338660,9.161242,3.282112,3.415582
0.613982,0.632521,19.409583,20.354613
0.927362,0.971275,22.026758,20.204867
1.172121,2.466637,8.894901,10.228585
3.611354,3.215063,22.668358,22.475656
2.215848,2.083924,7.907431,7.092460
0.299023,0.335106,37.087010,35.662468
2.219228,2.202833,7.938871,13.075858
1.191841,1.186175,17.247811,14.806119
1.959226,2.005113,20.903305,18.378011
0.925564,0.950368,31.184365,30.185686
1.368216,1.244356,14.988413,14.087985
1.237745,1.288837,8.182253,7.851355
3.509741,2.018036,26.271995,19.474775
4.000972,3.221728,3.712093,3.330019
0.394214,0.402977,51.955793,53.855145
1.041442,1.006914,15.475512,15.745676
8.862596,3.939849,17.991252,17.747939
2.472028,3.157217,13.743788,13.884141
3.288288,3.069334,24.973429,21.920896
2.356015,0.074392,19.933945,33.965726
2.947494,2.550870,15.991661,15.750143
1.926721,1.831191,11.342568,11.299424
0.640515,0.474559,22.546854,23.871308
2.298780,2.467306,21.437038,21.308328
0.871255,0.864368,20.973487,20.448592
3.584790,3.628708,4.942843,4.932448
2.438641,2.570018,8.825969,7.187882
2.148978,2.364585,19.003413,18.447889
3.532071,3.878143,10.898165,10.403292
0.675885,0.660568,22.375526,22.664884
4.274212,4.987225,6.185705,5.791395
1.609276,1.588199,8.767371,8.933382
1.718454,1.840892,32.480141,28.643824
0.611750,0.611059,27.232390,24.945484
2.376465,2.310547,15.788220,15.637577
3.956098,5.414264,6.712122,6.114845
1.384450,1.347753,16.547559,15.892453
2.451021,3.053973,10.449977,10.397806
2.700125,2.956573,16.750421,16.537388
3.175396,3.626640,10.486085,10.449280
2.083838,1.892729,16.860791,17.364918
0.469185,0.597177,17.643643,13.067356
11.385439,12.247414,7.273352,7.145260
1.274408,1.239287,18.667020,17.715230
1.801763,1.901283,14.461036,14.594401
1.880740,1.838315,13.787963,12.104847
2.090733,2.044145,7.046592,7.309624
1.889873,1.519774,49.765934,45.233846
1.339268,1.351879,12.848932,13.409458
4.441465,4.315047,11.915171,11.354474
3.552174,3.949145,0.290066,0.314658
1.803508,1.977142,23.175768,20.904607
1.902943,1.697556,22.701051,19.749680
0.952410,0.961873,14.680325,16.140840
2.539924,2.488384,5.687616,6.481319
1.508920,1.262323,18.368184,16.315722
0.543918,0.520484,16.536044,15.953511
2.502111,2.645763,5.971267,7.003899
1.054892,1.006500,2.612469,3.849648
2.262103,2.124224,28.118614,27.218848
2.538916,2.196225,22.211835,22.445988
2.300812,1.977210,23.072277,20.996755
0.708050,0.689218,15.542935,16.600249
1.791987,1.750179,18.653550,14.427972
1.583924,1.641780,18.907531,20.126448
1.504453,1.479055,29.616363,27.861096
4.065804,4.455983,4.216447,3.822594
2.276000,2.514412,4.698863,4.128724
2.033721,2.190385,11.239501,11.194382
0.437462,0.445929,20.488886,18.987979
3.685149,2.680887,11.966488,11.851702
0.911185,1.064731,16.027904,15.502584
2.785371,3.628470,15.798735,15.278736
5.590109,4.493266,8.568045,8.635836
3.495533,3.669466,3.297881,3.972516
2.078022,2.117539,4.978152,4.423768
3.283773,2.978083,14.795706,13.687716
2.821252,3.054158,9.529411,9.214734
2.411866,2.425303,15.038063,14.921703
4.382297,3.923919,5.738185,6.074154
2.283598,2.506436,15.481079,15.515114
0.916974,1.004250,25.214056,24.904091
1.780186,1.840157,13.142426,12.877342
30.847031,2.801659,16.272548,14.590768
4.714998,4.969542,3.112944,2.681391
8.348540,5.428414,11.436265,11.600892
3.810503,3.033108,7.279230,7.342806
1.290448,1.527721,9.072313,9.296206
5.213921,4.289109,6.959113,7.215532
3.490275,3.218112,1.022208,0.290740
3.871824,5.752030,7.602433,7.307691
2.583164,2.330794,14.742360,12.672705
0.482481,0.563059,41.003928,26.753722
1.739420,1.797641,31.330333,31.641562
1.690977,1.698381,6.746745,6.297405
0.546936,0.512935,2.490179,3.229194
4.153462,3.692057,11.604781,10.832091
0.322854,0.312203,21.346010,19.116869
2.371966,2.571097,15.015908,15.989764
0.762909,0.790099,24.396217,23.201249
9.732175,6.552915,6.900266,6.678760
0.888863,0.884718,22.492578,21.787750
0.477304,0.477344,18.003410,19.077110
2.308996,2.453748,16.354104,14.943464
2.215585,2.565064,14.649285,14.236596
1.335531,1.431885,15.948888,14.941438
7.938199,8.969404,7.875045,7.609941
0.496677,0.516040,7.192166,8.248145
3.817494,3.751319,13.983870,14.013376
1.872179,2.045259,13.977862,13.071162
1.012287,1.050613,4.078135,3.858793
2.610570,2.815966,14.149460,13.556734
0.668425,0.684561,15.519429,13.976066
0.420358,0.408105,56.088302,54.476874
5.532767,5.385421,11.706677,13.241938
1.567388,1.568624,30.995126,30.956813
5.703922,5.664074,7.356981,6.713671
0.685991,0.605917,32.846625,32.555969
0.647002,0.657976,17.560197,18.785181
4.153790,5.734745,10.254036,11.233034
6.366781,6.312454,2.231691,2.230463
4.495852,4.325350,14.243108,13.878319
1.699640,1.720242,18.236182,21.653289
0.569463,0.586988,39.625775,38.732785
1.467786,1.680563,24.977441,17.833869
2.037802,1.561993,15.703349,16.177444
1.315483,1.241404,7.937140,11.180089
2.190507,2.506004,24.665545,22.517721
1.332250,1.300493,5.152139,5.435379
3.170272,4.145865,4.981535,4.688930
2.828554,2.304328,21.758712,14.360644
0.479936,0.229994,31.578119,28.714182
1.425252,1.447756,33.020137,29.850643
0.539799,0.243978,23.836769,20.967695
0.456979,0.517411,20.070377,7.540852
0.389272,0.309628,21.516287,15.516863
5.077453,5.311695,10.856469,11.115493
0.365817,0.364363,42.306391,37.010698
2.003717,1.669953,26.103017,22.530808
0.593558,0.570715,35.956232,35.767497
0.857830,0.896009,15.235248,15.381340
0.717539,0.351468,35.099403,36.215051
1.247933,1.199094,9.157660,9.579674
0.739814,0.758148,18.612997,20.975691
0.594195,0.559803,28.968566,27.943940
4.399205,4.451104,12.154758,11.637789
4.197799,3.655196,11.399693,10.509478
3.223494,2.975570,4.758928,4.801711
2.471801,2.085998,11.587962,11.724606
5.046853,4.553695,5.169376,4.689139
0.626657,0.584226,25.424196,32.380594
1.841276,1.954414,17.255272,8.871458
2.900343,2.789175,14.084183,14.364334
2.365835,1.895492,27.996097,24.994824
2.033086,1.772395,15.344938,14.900654
4.440740,4.599118,16.713921,16.817100
